racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,close_0,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,close_15,close_16,close_17,close_18,close_19,row_has_proxy_features,row_train_eligible,result_bin
0.0,0.06230224840705182,0.95,0.01680000000000007,-0.06599999999999995,-0.03287999999999994,0.002280871403641632,0.003710691207542083,0.018210594468702844,-0.9586,0.01680000000000007,-0.98965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.06440224840705183,0.95,0.01680000000000007,-0.06599999999999995,-0.03287999999999994,0.002280871403641632,0.003710691207542083,0.018210594468702844,-0.9586,0.01680000000000007,-0.95965,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0.0,0.11230224840705183,0.95,0.01680000000000007,-0.06599999999999995,-0.03287999999999994,0.014780871403641633,0.003710691207542083,0.018210594468702844,-0.9586,0.01680000000000007,-0.98965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.23235740083858694,0.9550000000000001,-0.08599999999999994,-0.01780000000000001,-0.04507999999999998,0.03648038682181084,0.0806058493940437,0.1504703358388694,-0.9481,0.08599999999999994,-0.957025,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.2324951132736171,0.9550000000000001,-0.08840000000000003,-0.019399999999999976,-0.047,0.0364523321155067,0.08041277171903394,0.15059274894604976,-0.9460999999999999,0.08840000000000003,-0.956525,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-2.0,0.1838990369133229,0.9550000000000001,-0.07640000000000001,-0.010999999999999944,-0.03715999999999997,0.02409656900459083,0.08140989617659455,0.14997690185955237,-0.9563,0.07640000000000001,-0.929075,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.23179903691332296,0.9550000000000001,-0.07640000000000001,-0.010999999999999944,-0.03715999999999997,0.03659656900459083,0.08140989617659455,0.14997690185955237,-0.9563,0.07640000000000001,-0.959075,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-3.0,0.18599903691332295,0.9550000000000001,-0.07640000000000001,-0.010999999999999944,-0.03715999999999997,0.02409656900459083,0.08140989617659455,0.14997690185955237,-0.9563,0.07640000000000001,-0.8990750000000001,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.23105172890719983,0.9550000000000001,-0.06340000000000004,-0.0020000000000000282,-0.026560000000000035,0.03675276147390971,0.08250225267254385,0.1493186560256304,-0.9672999999999999,0.06340000000000004,-0.961825,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-4.0,0.18764519463984472,0.9550000000000001,-0.245,-0.12980000000000003,-0.17588000000000004,0.02018132152491765,0.057879518936459484,0.1462790315904754,-0.8126,0.245,-0.8331500000000001,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
