fecha,activo,direction,monto,resultado,ganancia_perdida,rsi_9,rsi_14,sma_5,sma_20,cruce_sma,breakout,rsi_reversion,racha_actual,es_rebote,ciclo_martingala,payout_total,payout_multiplier,puntaje_estrategia,result_bin,trade_status,epoch,ts,ia_prob_en_juego,ia_prob_source,ia_decision_id,ia_gate_real,ia_modo_ack,ia_ready_ack,close_0,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,close_15,close_16,close_17,close_18,close_19
2026-03-18 13:41:43,1HZ25V,CALL,1.0,PENDIENTE,,73.84,74.11,857119.57,856682.5620000002,1,1,1,0,0,1,1.95,1.95,1.0,,PRE_TRADE,1773859303,2026-03-18T18:41:43.669679+00:00,,,fulll45|1773859303|C1|1HZ25V|CALL|BUOUMG8VGG7BUHW|2026-03-18T18:41:43.669679+00:00,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:43:47,1HZ25V,CALL,1.0,GANANCIA,0.95,73.84,74.11,857119.57,856682.5620000002,1,1,1,0,0,1,1.95,1.95,1.0,1,CERRADO,1773859303,2026-03-18T18:43:47.240189+00:00,0.7033333333333335,HUD,fulll45|1773859303|C1|1HZ25V|CALL|BUOUMG8VGG7BUHW|2026-03-18T18:41:43.669679+00:00,0.6,LOW_DATA,True,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:44:33,1HZ50V,CALL,1.0,PENDIENTE,,54.12,56.39,323808.452,323213.95499999996,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1773859473,2026-03-18T18:44:33.603279+00:00,,,fulll45|1773859473|C1|1HZ50V|CALL|BUOUMG8VGG7BUHW|2026-03-18T18:44:33.603279+00:00,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:46:36,1HZ50V,CALL,1.0,PÉRDIDA,-1.0,54.12,56.39,323808.452,323213.95499999996,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1773859473,2026-03-18T18:46:36.929576+00:00,0.6633333333333334,HUD,fulll45|1773859473|C1|1HZ50V|CALL|BUOUMG8VGG7BUHW|2026-03-18T18:44:33.603279+00:00,0.6,LOW_DATA,True,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:48:41,1HZ10V,PUT,2.0,PENDIENTE,,23.88,43.22,9686.261999999999,9687.0665,1,1,0,-1,0,2,3.91,1.955,0.666667,,PRE_TRADE,1773859721,2026-03-18T18:48:41.645905+00:00,,,fulll45|1773859721|C2|1HZ10V|PUT|BUOUMG8VGG7BUHW|2026-03-18T18:48:41.645905+00:00,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:50:45,1HZ10V,PUT,2.0,GANANCIA,1.91,23.88,43.22,9686.261999999999,9687.0665,1,1,0,-1,0,2,3.91,1.955,0.666667,1,CERRADO,1773859721,2026-03-18T18:50:45.859512+00:00,0.6636666666666667,HUD,fulll45|1773859721|C2|1HZ10V|PUT|BUOUMG8VGG7BUHW|2026-03-18T18:48:41.645905+00:00,0.6,LOW_DATA,True,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:51:33,1HZ75V,CALL,1.0,PENDIENTE,,59.54,60.92,3879.1479999999997,3868.0675,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1773859893,2026-03-18T18:51:33.264364+00:00,,,fulll45|1773859893|C1|1HZ75V|CALL|BUOUMG8VGG7BUHW|2026-03-18T18:51:33.264364+00:00,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:53:36,1HZ75V,CALL,1.0,PÉRDIDA,-1.0,59.54,60.92,3879.1479999999997,3868.0675,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1773859893,2026-03-18T18:53:36.846006+00:00,0.6633333333333334,HUD,fulll45|1773859893|C1|1HZ75V|CALL|BUOUMG8VGG7BUHW|2026-03-18T18:51:33.264364+00:00,0.6,LOW_DATA,True,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:55:36,1HZ100V,CALL,2.0,PENDIENTE,,37.32,49.19,1732.7279999999998,1730.459,1,1,0,-1,0,2,3.91,1.955,0.666667,,PRE_TRADE,1773860136,2026-03-18T18:55:36.606220+00:00,,,fulll45|1773860136|C2|1HZ100V|CALL|BUOUMG8VGG7BUHW|2026-03-18T18:55:36.604914+00:00,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:57:40,1HZ100V,CALL,2.0,PÉRDIDA,-2.0,37.32,49.19,1732.7279999999998,1730.459,1,1,0,-1,0,2,3.91,1.955,0.666667,0,CERRADO,1773860136,2026-03-18T18:57:40.774525+00:00,0.6636666666666667,HUD,fulll45|1773860136|C2|1HZ100V|CALL|BUOUMG8VGG7BUHW|2026-03-18T18:55:36.604914+00:00,0.6,LOW_DATA,True,,,,,,,,,,,,,,,,,,,,
