fecha,activo,direction,monto,resultado,ganancia_perdida,rsi_9,rsi_14,sma_5,sma_20,cruce_sma,breakout,rsi_reversion,racha_actual,es_rebote,ciclo_martingala,payout_total,payout_multiplier,puntaje_estrategia,result_bin,trade_status,epoch,ts,ia_prob_en_juego,ia_prob_source,ia_decision_id,ia_gate_real,ia_modo_ack,ia_ready_ack
2026-03-06 09:54:36,1HZ75V,PUT,1.0,PENDIENTE,,49.18,50.27,3826.204,3835.019500000001,1,1,0,0,0,1,1.95,1.95,0.666667,,PRE_TRADE,1772808876,2026-03-06T14:54:36.364919+00:00,,,fulll53|1772808876|C1|1HZ75V|PUT|BUOUMG8VGG7BUHW,,,
2026-03-06 10:04:06,1HZ100V,PUT,1.0,PENDIENTE,,55.18,52.73,1365.734,1366.7554999999998,1,1,0,0,0,1,1.95,1.95,0.666667,,PRE_TRADE,1772809446,2026-03-06T15:04:06.974876+00:00,,,fulll53|1772809446|C1|1HZ100V|PUT|BUOUMG8VGG7BUHW,,,
2026-03-06 10:06:10,1HZ100V,PUT,1.0,GANANCIA,0.95,55.18,52.73,1365.734,1366.7554999999998,1,1,0,0,0,1,1.95,1.95,0.666667,1,CERRADO,1772809446,2026-03-06T15:06:10.480409+00:00,0.6633333333333334,HUD,fulll53|1772809446|C1|1HZ100V|PUT|DEMO,0.6,LOW_DATA,True
2026-03-06 10:07:12,1HZ50V,CALL,1.0,PENDIENTE,,55.6,62.77,266140.63800000004,265924.9305,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1772809632,2026-03-06T15:07:12.815071+00:00,,,fulll53|1772809632|C1|1HZ50V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-06 10:09:16,1HZ50V,CALL,1.0,GANANCIA,0.95,55.6,62.77,266140.63800000004,265924.9305,1,1,0,1,0,1,1.95,1.95,0.666667,1,CERRADO,1772809632,2026-03-06T15:09:16.314687+00:00,0.6633333333333334,HUD,fulll53|1772809632|C1|1HZ50V|CALL|DEMO,0.6,LOW_DATA,True
2026-03-06 10:10:42,1HZ10V,PUT,1.0,PENDIENTE,,25.95,30.84,9611.070000000002,9612.931999999997,1,1,0,2,0,1,1.95,1.95,0.666667,,PRE_TRADE,1772809842,2026-03-06T15:10:42.303323+00:00,,,fulll53|1772809842|C1|1HZ10V|PUT|BUOUMG8VGG7BUHW,,,
2026-03-06 10:12:45,1HZ10V,PUT,1.0,PÉRDIDA,-1.0,25.95,30.84,9611.070000000002,9612.931999999997,1,1,0,2,0,1,1.95,1.95,0.666667,0,CERRADO,1772809842,2026-03-06T15:12:45.910176+00:00,,NO_READY,fulll53|1772809842|C1|1HZ10V|PUT|DEMO,0.6,MODELO,False
2026-03-06 10:13:48,1HZ50V,PUT,2.0,PENDIENTE,,57.29,54.47,266049.656,266064.63850000006,1,1,0,-1,0,2,3.91,1.955,0.666667,,PRE_TRADE,1772810028,2026-03-06T15:13:48.398089+00:00,,,fulll53|1772810028|C2|1HZ50V|PUT|BUOUMG8VGG7BUHW,,,
2026-03-06 10:15:51,1HZ50V,PUT,2.0,PÉRDIDA,-2.0,57.29,54.47,266049.656,266064.63850000006,1,1,0,-1,0,2,3.91,1.955,0.666667,0,CERRADO,1772810028,2026-03-06T15:15:51.654561+00:00,,NO_READY,fulll53|1772810028|C2|1HZ50V|PUT|DEMO,0.6,MODELO,False
2026-03-06 10:16:36,1HZ100V,PUT,4.0,PENDIENTE,,58.65,54.99,1362.0819999999999,1364.417,1,1,0,-2,0,3,7.81,1.9525,0.666667,,PRE_TRADE,1772810196,2026-03-06T15:16:36.587841+00:00,,,fulll53|1772810196|C3|1HZ100V|PUT|BUOUMG8VGG7BUHW,,,
